data_hora	user_name	title	id	viewer_count	language	game_id
24/05/2026 00:05:52	Tray	ギフトサブ5つ以上 = 🌶 DM + 私とのプライベートFaceTime通話🫦 #BeKind🫶🏾	319445966298	1775	en	509658
24/05/2026 00:05:52	brawlpro	LIVE Combo Breaker Auction Tournament Restream	319552152667	1774	en	538054672
24/05/2026 00:05:52	AsmodaiTV	Ohhhhhh	316081152597	1731	en	138585
24/05/2026 00:05:52	thetitaylor	Spend 24 Hrs in New York W Cj so cool pt2	319388808921	1725	en	509658
24/05/2026 00:05:52	Sesuko	✅DROPS OWCS✅ RERUN DE LA OWCS DIA 2 (NO SPOILERS)✅|| !redes !video !discord	316792937058	1720	es	515025
24/05/2026 00:05:52	XAROLA_	RANKEDS E TRANSFORMERS 2 // !PIX !LG	318092919028	1716	pt	516575
24/05/2026 00:05:52	Grizzy	CLOOLESS SUBNAUTICA 2 SERIES!	319446083162	1712	en	723826053
24/05/2026 00:05:52	itswill	SCARY SATURDAY 🚨 GENUINELY TERRIFYING VIEWER BEWARE 🌍 MYSTERIOUS! HORRIFYING! INTRIGUING! DONT MISS IT ⚠️ #1 GAME UNDERSTANDER	317863852119	1701	en	1294239215
24/05/2026 00:05:52	kyo1984123	🔥大談🔥 5/23【KYO】 @kyo1984123 Surfshark    ! VPN !水餃 !延長線	315995255155	1693	zh	509658
24/05/2026 00:05:52	DizzyKitten	Practicing for a Tournament! ASMR later | !GamerSupps	319387563609	1673	en	32399
24/05/2026 00:05:52	KYR_SP33DY	The Purge Minecraft SMP	317200991704	1671	en	27471
24/05/2026 00:05:52	kinapoppo	OWCC グランドファイナルletsgoooooooo Day3	315941073394	1668	ja	515025
24/05/2026 00:05:52	Livvcote	anyone got 5 gifted laying around	317860022487	1657	en	516575
24/05/2026 00:05:52	xTheSolutionTV	LATE NIGHT SCHACH 🦆  !Partner !LiberNovo !247 !Certified !Uncut #Werbung 🦆	316794028130	1639	de	743
24/05/2026 00:05:52	wakewilder	🔴(a)WAKE W/ WAKEWILDER🔴 COZIEST SATURDAY NIGHT TEA: CHATTING--> REACTS--> MAFS DINNER AND CC-> ALONE? 🎙️ !SOCIALS !PODCAST	316631765623	1613	en	509658
24/05/2026 00:05:52	SPYGEA	【DAY3】BitSummit PUNCH 1Fステージ配信！SPYGEAとおにや #PR	315995733619	1577	ja	509658
24/05/2026 00:05:52	Sypeh	[ALL DROPS] Support games / World Champion / !Rank 1,2,3,4,5 / !newvideo	316109008470	1575	en	1264310518
24/05/2026 00:05:52	ElasticDroid	YES BRO WERE FINALLY PLAYING SUBNAUTICA 2 !gsupps !afk !merch	319387074137	1565	en	723826053
24/05/2026 00:05:52	LegendOfWinning	GAME 3 OF THE ECF	319386649305	1560	en	518203
24/05/2026 00:05:52	vickypalami	HAGO UN ASADO EVITANDO QUE CREMI SE COMA TODO	318673569246	1553	es	509672
24/05/2026 00:05:52	蝦愛橘子	🔞恐怖之夜D37⏰每晚7點 🎁Sw2 每月一台 !抽獎🔴看台免費拿MyCard/Steam點數!MY🔴 【🍊蝦愛橘子】	315931509105	1551	zh	509658
24/05/2026 00:05:52	cowfee	OWCS !DROPS ✿ GRAND FINALS COZIEST WATCHPARTY ദ്ദി(˵ •̀ ᴗ - ˵ )✧ !TIER3	317236387303	1506	en	515025
24/05/2026 00:05:52	芳香腳	520加班台♡  !加班 !dc	315931323249	1497	zh	498592
24/05/2026 00:05:52	AlveusSanctuary	Animal Ambassador 24/7 Live Cams | !alveus !institute !pixel !schedule !video	317445588838	1483	en	272263131
24/05/2026 00:05:52	FatherSonGaming	70 YEAR OLD MAN & HIS 30 YEAR OLD SON - CO-OP WORLD SERIES RUN	318723162460	1481	en	1832641890
24/05/2026 00:05:52	綠寶	【綠寶】5/24 大中午開火!	315995436403	1464	zh	509658
24/05/2026 00:05:52	TheBurntPeanut_247	24/7 @TheBurntPeanut VODS/YT | TARKOV | ARC RAIDERS | SILLY GAMES | BUNGULATORS ONLY CHAT	317187858264	1460	en	499973
24/05/2026 00:05:52	velja_lol	🇰🇷 KOREA DAY 24/69 | full tryhard 🥱!korea !coaching !ig !youtube	317200160856	1451	en	21779
24/05/2026 00:05:52	GrenBaud	IL TOUR DEL MAROCCO: SIAMO ARRIVATI A CASABLANCA - LIVE DI 24H FINO ALLE 16:00 - GIORNO 2 *salam* !prime !proton !bitpanda	316628872311	1449	it	509658
24/05/2026 00:05:52	Tasty_Steve	Combo Breaker 2026 - Tekken 8 Auction Tournament	316632760439	1447	en	538054672
24/05/2026 00:05:52	kelo	OPENING A BARBER SHOP...... | ROAD TO 3k SUBS 🍀🍀🧪	318723947740	1434	en	509658
24/05/2026 00:05:52	RPGLimitBreak	RPGLB2026 Benefiting NAMI - Clair Obscur Expedition 33 by @Bdud5, @z3r01337	317844068567	1430	en	36799602
24/05/2026 00:05:52	Matimi0	Let's Ride - Forza Horizon 6 - !Charm	316632617591	1423	en	1991115310
24/05/2026 00:05:52	mcqueennlive	MIAMI MANSION PARTY 🏝️🍾	317863813591	1407	en	509672
24/05/2026 00:05:52	Goratha	Martial Artist looks INSANE! Thinking of more league start ideas! !builds !maxroll	319386491353	1402	en	1702520304
24/05/2026 00:05:52	EsfandTV	*NEW RUN* Dark Urge Paladin.. Act 2 soon | @EsfandTV all socials	319443378778	1392	en	512923
24/05/2026 00:05:52	NickNPrince	Slay for a Clause '26 - Uncapped Donate-a-thon for @streamforacause!	316624870775	1386	en	491487
24/05/2026 00:05:52	OfficerFA	L4D:2 w/ THE FELLAS || !1shot || !ctrl	318673287390	1382	en	518186
24/05/2026 00:05:52	Tealzlol	💪 RUMO AO TOP 1 APENAS |🌟 1 SUB = BADGE KAISA PORSCHE!	317963203446	1370	pt	514858
24/05/2026 00:05:52	JacobMvPR	Casting NA Div 1  West FINALS! !socials for more!	319385652185	1360	en	33214
24/05/2026 00:05:52	Noiaaa	hi | !discord	319388254681	1358	en	516575
24/05/2026 00:05:52	DaddyDimmuTV	NEW spotlight content !SUBATHON Day 37 !YOUTUBE !focusfuel !UNDERDOG !UNDERDOGHOF	319441682522	1347	en	1832641890
24/05/2026 00:05:52	HeyYouVideoGame	SPOOKY SATURDAY w/ @theburntpeanut and friends | !adv !cheeky	319550593243	1343	en	24193
24/05/2026 00:05:52	CRREAM	New Monster? O_O | !ADV !Surfshark !Hello	315672332650	1343	en	127694361
24/05/2026 00:05:52	Macaw45	Crazed Japanese Horror Adventure Masterpieces	315652510057	1342	en	27284
24/05/2026 00:05:52	乃囗尺囗力丹	Качаемся да общаемся	316142240852	1319	ru	19801
24/05/2026 00:05:52	Pieface23	(UK) ⚽️ A Chilled Saturday Stream ⚽️ WOW ⚽️ Morecambe Season 3 ⚽️ Road to 1 Millions Followers ⚽️	315568576337	1290	en	509658
24/05/2026 00:05:52	yusuf7n	7️⃣7NG SATURDAY7️⃣ LAST STREAM IN THE VILLE 🫵CAN YOU GET VIP?🫵 OMEGLE BINGO + WABE PULLING UP LETS GOO | !twitter !com !discord !clipping	318673044062	1279	en	509658
24/05/2026 00:05:52	sashagrey	🟢ENZA RETURNS GTA RP PRODIGY 4.0 + LEGO BATMAN  DAY 4 @SASHAGREY | !PATREON !YTCLIPS	317862484311	1279	en	32982
24/05/2026 00:05:52	QuicksandGM	Habibi POV - L4D2 w/ @TheBurntPeanut @hutchmf @Gingy @ImPheetus @HeyYouVideoGame @OfficerFA @Baddie | !merch !citrus !kofi	319546793563	1273	en	24193
24/05/2026 00:05:52	FORMAL	🔴 FACEIT LVL 10!! 🔴	319385924185	1256	en	32399
24/05/2026 00:05:52	Blueryai	🗣️ WE BACKKKK 🔥 | 👁️‍🗨️ LIMINAL SPACE RETURNS 🏚️ | 🎁 SUB INCENTIVES 💜 | 💬 COMM CATCHUP 🤔 | 🌀 !socials !dono !clipcord !gamersupps !pobox 🌀	317863530711	1249	en	509658
24/05/2026 00:05:52	Madi2hottyy	23 Ballin Like Im Jordann 💫 NEXT BREAKOUT? 💫 !com !discord !sub	318672904798	1247	en	509672
24/05/2026 00:05:52	m0xyy	[NEW DROPS]🟥 IN THE LAB 🟥 GRINDING RANKED 🟥I WILL NOT STOP TILL IM THE BEST 🟥 [NOT SCUFFED] !yt !yt2	318670542942	1234	en	1264310518
24/05/2026 00:05:52	Miffoo	[12HR] *DROPS* 💀 SOT Night Shift 💀	319384149849	1229	en	490377
24/05/2026 00:05:52	infume	queueing up so i can build a castle	319445690458	1227	en	27471
24/05/2026 00:05:52	DolphinChemist	!die || DIE IN THE DUNGEON || achievement hunting for more unlocks	319385221977	1217	en	711101774
24/05/2026 00:05:52	shanks_ttv	18+ | GAMBLING WITH PROD	316630789111	1208	en	498566
24/05/2026 00:05:52	SofiKimmy	Yo le rezo a Anivia la Criofénix ❄️🩵 | ig: @sofikimmy	318096074484	1195	es	21779
24/05/2026 00:05:52	鈴木ノリアキ	シャドバ3日目 新たなデッキ	315932720113	1192	ja	114524791
24/05/2026 00:05:52	CabramostroBR	LIVE - Warzone - 23/05	317964585206	1187	pt	1494
24/05/2026 00:05:52	WobblyPython	PIT CREW TRANS AM! Raising money for TRANS LIFELINE!	318796336096	1182	en	509663
24/05/2026 00:05:52	帕蘿妮	▌帕蘿妮 0-0	315608933736	1180	zh	509658
24/05/2026 00:05:52	jeanmago	(AO VIVO) soloQ challenger	317962687862	1178	pt	21779
24/05/2026 00:05:52	MaryMaybe	More Chaos Rising packs to open POG -> Short Stream so maybe WC3 Campaign after - !factor | @marymaybe !socials	319447978458	1169	en	509658
24/05/2026 00:05:52	netnebaz	инада нажимаю лкм	317239844071	1169	ru	2132205352
24/05/2026 00:05:52	AxialMatt	Uncapped Subathon Day 8! First week down! Tree's Hate You for now more games after! | !alerts !subathon !weekend	317846232919	1164	en	795788384
24/05/2026 00:05:52	PYKA	SATURDAY ENERGY ⚡	316632487287	1163	en	1669431183
24/05/2026 00:05:52	WhiskeyDing0	⭐FURRY GAME OwO - LOUD & YELLOW DOG PLAYS BUBSY 4D - WHAT COULD PAWSIBLY GO WRONG? - GIFTCARD GIVEAWAY⭐ | !discord [18+]	319386356825	1161	en	357582639
24/05/2026 00:05:52	nico_ov	【DROPS✅】OWCS世界大会 現地ウォッチパーティー Day3  ZETA DIVISION  vs Crazy Raccoon	319449481050	1153	ja	515025
24/05/2026 00:05:52	Hunterowner	!girl $20,000 RAW START🔥$5000 IN GIVEAWAYS🔥$120,000 !LEADERBOARD🔥HUNTEROWNER.GG🔥AD	317203606104	1150	en	498566
24/05/2026 00:05:52	LOUD_Brabox	Resenha pós derrota 😡	317202172632	1129	pt	509672
