media_viewers	pico_viewers	desvio_viewers	frequencia	crescimento_medio	volatilidade	tempo_horas	quantidade_categorias
-0.11821956372667244	0.23077338320151106	0.04136599661249328	1.8449678308311053	-0.039294904925372506	0.1187425635105566	1.8449678308311053	-0.4359432291543438
0.034531621018564294	-0.002171009336718464	-0.020002447754766835	-0.2682602105017606	-0.2073702789422113	-0.07278353335059358	-0.2682602105017606	0.13118789807040676
-0.277107351959229	-0.1839719579643154	-0.16022659036690864	-0.5157553865137179	-0.043626510773480634	-0.21351669686002567	-0.5157553865137179	-0.4359432291543438
0.05107327278520058	-0.019218823973595995	0.10171156778542446	-0.6299839292884674	-1.0766641654222164	0.14275784648813492	-0.6299839292884674	-0.4359432291543438
-0.03851653742897491	-0.07252505033816081	-0.02281594194974969	-0.7251743816007586	0.7431905269614372	0.40325296978502884	-0.7251743816007586	-0.4359432291543438
-0.05643965967975169	-0.06578225798178387	-0.006147100912958344	-0.5728696579010926	-0.3174738471935991	0.006463901892950928	-0.5728696579010926	0.13118789807040676
-0.2517363295792906	-0.16895970328407997	-0.14093814496532672	-0.15403166772701105	-0.03464530624784659	-0.17950472816754115	-0.15403166772701105	0.13118789807040676
-0.20634370038562466	-0.1286301716431085	-0.10767054725970518	-0.5538315674386344	-0.16733261775988845	-0.06623141974396003	-0.5538315674386344	0.13118789807040676
-0.1975350343103602	-0.15114855366346167	-0.14471113567554894	-0.6109458388260091	-0.00367867767714376	-0.1744736956005511	-0.6109458388260091	-0.4359432291543438
-0.26978231392391694	-0.177738055597099	-0.15103221263563846	-0.5157553865137179	-0.04983748129022559	-0.19980917278792124	-0.5157553865137179	-0.4359432291543438
-0.08877008250370563	-0.021254383930238086	0.0104970940570737	-0.2111459391143858	-0.06512153099444122	0.08406634977292192	-0.2111459391143858	-0.4359432291543438
-0.27706951043432326	-0.1839719579643154	-0.16016374719064894	-0.687098200675842	-0.053225283390268295	-0.21222991546226827	-0.687098200675842	-0.4359432291543438
0.4770160216801648	0.2737745872855753	0.3659464138692962	-0.2872983009642188	-0.19738755542075212	0.31350704033035154	-0.2872983009642188	0.13118789807040676
