user_name	media_viewers	pico_viewers	desvio_viewers	frequencia	crescimento_medio	volatilidade	tempo_horas	language	game_id
AREYNE1	822.0	859	17.720045146669342	7	-3.1666666666666665	23.189796606841266	1.75	ru	32982.0
ARIatHOME	2971.3333333333335	3464	519.5668359024633	12	162.36363636363637	333.3959426049671	3.0	en	509672.0
ARROWli	291.7	346	30.459627195500737	10	6.0	38.062448686336516	2.5	en	386821.0
ARUUU	458.69767441860466	588	73.61500069820168	43	2.261904761904762	62.614211557491636	10.75	en	509658.0
AR_Down	2103.0	2448	374.32472533884265	3	225.5	731.8555185280767	0.75	en	687129551.0
ASIAZXD	184.44444444444446	228	22.361300896365083	9	-3.375	29.80382286121794	2.25	th	511224.0
ASchaper	211.4	224	11.304866208850065	5	5.75	6.238322424070967	1.25	en	24241.0
ATL770ER	182.0	190	7.2571803523590805	4	-4.0	13.527749258468683	1.0	en	2112738408.0
ATT	7877.625	10571	2250.2089347436163	16	420.8666666666667	1312.0277036854425	4.0	en	774680424.0
ATTURSSON	366.75	448	90.47421363755163	4	36.0	146.0719001040241	1.0	en	65632.0
AUDlONlX	223.04285714285714	236	5.273493230190147	70	0.043478260869565216	4.3771961970323625	17.5	en	518873.0
AUTdany	1024.344827586207	1520	269.19958134259423	87	4.837209302325581	157.2534754476214	21.75	de	509672.0
AVAMind	1733.0	3160	620.7171255894267	17	53.3125	533.7198664405638	4.25	fr	509658.0
AVIDsi	411.5	421	12.793227374930332	4	9.333333333333334	9.451631252505218	1.0	ru	1393304883.0
AWS	6266.75	7354	979.6054903208061	4	778.3333333333334	286.7129807548541	1.0	en	417752.0
AWildGoos3	436.22222222222223	795	176.30639365730454	9	-62.75	64.93678244481872	2.25	en	491487.0
AYYJAYY	908.96875	2414	619.4541111602484	64	-1.3174603174603174	298.0805706947436	16.0	en	30921.0
AZAMAT799	719.6774193548387	994	173.17859511628913	31	18.4	81.52917819131827	7.75	ru	509658.0
AZRA	982.5454545454545	1457	446.69304083147824	11	90.4	372.7636129118709	2.75	en	116747788.0
